tweet_id	date	retweet	Additive Manufacturing	Artificial Intelligence	CryptoCurrencies	Computing Infrastructure	Digital Health	Internet of Things	Quantum Computing	Robotics	Autonomous Vehicles	Hashtags	lat	lon	Country	Sentiment Score	Sentiment	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	URLs	followers	friends	statuses
50	Thu Oct 11 05:21:48 +0000 2018	0	0	1	0	0	0	1	0	0	0	#quantumcomputer;#Quantum;#quantum;#Machinelearning;#artificialintelligence;#MachineLearning;#ArtificialIntelligence;Artificial;MachineLearning;ArtificialIntelligence	Null	Null	San Francisco, CA	0.1027	POS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://medium.com/the-physics-arxiv-blog/first-demonstration-of-artificial-intelligence-on-a-quantum-computer-17a6b9d1c5fb	4419	3553	2666
51	Mon Oct 15 20:23:51 +0000 2018	0	0	0	0	0	0	0	0	0	0		Null	Null	Tallahassee, FL	0.0	NEU	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.0	https://scentevidencek9.com/2018/10/tennessee-bureau-of-investigation-conference-2018/	56	66	246
52	Mon Oct 15 20:23:25 +0000 2018	0	0	0	0	0	0	0	1	0	0	#healthIT;#healthcare	Null	Null	Republic of the Philippines	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	https://bit.ly/2IZ69sj	1795	1155	120362
53	Mon Oct 15 19:57:36 +0000 2018	0	0	0	0	0	0	0	0	1	0	#blockchains;#Crypto;#cryptocurrencies;#crypto;#blockchain;#Blockchain;Blockchain;#Blockchain;Cryptocurrencies	Null	Null	Mohali, India	0.5423	POS	0.125	0.25	0.125	0.125	0.125	0.0	0.5	0.0	0.0	0.0	https://mixin.one/snapshots	114	818	320
54	Thu Oct 11 05:10:35 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	@startup365_fr	0.0	NEU	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	https://buff.ly/2RsO0a9	2819	4847	13338
55	Mon Oct 15 20:34:59 +0000 2018	0	0	0	0	0	0	0	1	0	0	#Digitalhealth;#DigitalHealth;digitalhealth	Null	Null	Berlin, Germany	0.7003	POS	0.0	1.0	0.0	0.0	0.5	0.0	0.5	0.0	0.5	0.5	https://rockhealth.com/introducing-our-newest-digital-health-investments/	8482	2018	36164
56	Mon Oct 15 19:57:25 +0000 2018	0	0	0	0	0	0	0	0	1	0	#blockchains;#Crypto;#cryptocurrencies;#crypto;#blockchain;#Blockchain;Blockchain;#Blockchain;Cryptocurrencies	Null	Null	Mohali, India	0.5423	POS	0.125	0.25	0.125	0.125	0.125	0.0	0.5	0.0	0.0	0.0	https://mixin.one/snapshots	1335	1406	1757
57	Mon Oct 15 20:22:45 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	Global	-0.3595	NEG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None	4154	123	213926
58	Thu Oct 11 05:05:28 +0000 2018	1	0	0	0	0	0	0	0	0	0		Null	Null	Barcelona	0.0	NEU	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	https://buff.ly/2RsO0a9	6157	6419	14145
59	Mon Oct 15 20:34:11 +0000 2018	0	1	0	0	0	0	1	1	0	1	#IoT;IoT;#IOT;#IoT;#IOT;#Machinelearning;#DeepLearning;#DataScience;#ai;#MachineLearning;#BigData;#AI;MachineLearning;#AI;#healthtech;#Digitalhealth;#DigitalHealth;#healthcare;digitalhealth;#Robotics;#robotics;#robot;robotics	Null	Null	Jacksonville Beach, FL	0.0	NEU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	http://bit.ly/2J1nL9s	4226	4410	7424
